一上臺	一上台 一上臺
一下臺	一下台 一下臺
一中一臺	一中一台 一中一臺
一兩臺	一兩台 一兩臺
一臺	一台 一臺
一臺主機	一台主機 一臺主機
一臺戲	一台戲 一臺戲
一臺服務器	一台服務器 一臺服務器
一臺臺	一台台 一臺臺
一臺車	一台車 一臺車
一臺電腦	一台電腦 一臺電腦
七臺	七台 七臺
七臺河	七台河 七臺河
七臺河市	七台河市 七臺河市
丈八燈臺	丈八燈台 丈八燈臺
三仙臺	三仙台 三仙臺
三個女人一臺戲	三個女人一台戲 三個女人一臺戲
三尺講臺	三尺講台 三尺講臺
三思臺	三思台 三思臺
三臺	三台 三臺
三臺聯播	三台聯播 三臺聯播
上不了臺面	上不了台面 上不了臺面
上不得臺盤	上不得台盤 上不得臺盤
上斷頭臺	上斷頭台 上斷頭臺
上海電視臺	上海電視台 上海電視臺
上臺	上台 上臺
上臺前	上台前 上臺前
上臺執政	上台執政 上臺執政
上臺後	上台後 上臺後
上臺演唱	上台演唱 上臺演唱
上臺演奏	上台演奏 上臺演奏
上臺演講	上台演講 上臺演講
上臺階	上台階 上臺階
上臺面	上台面 上臺面
上舞臺	上舞台 上舞臺
上花臺	上花台 上花臺
下不了臺	下不了台 下不了臺
下不來臺	下不來台 下不來臺
下臺	下台 下臺
下臺一鞠躬	下台一鞠躬 下臺一鞠躬
下臺階	下台階 下臺階
不上臺盤	不上台盤 不上臺盤
不上臺面	不上台面 不上臺面
不得臺盤	不得台盤 不得臺盤
世界舞臺	世界舞台 世界舞臺
世臺	世台 世臺
世臺會	世台會 世臺會
中國中央電視臺	中國中央電視台 中國中央電視臺
中國國際廣播電臺	中國國際廣播電台 中國國際廣播電臺
中國地震臺	中國地震台 中國地震臺
中國臺北	中國台北 中國臺北
中國臺灣	中國台灣 中國臺灣
中央人民廣播電臺	中央人民廣播電台 中央人民廣播電臺
中央廣播電臺	中央廣播電台 中央廣播電臺
中央氣象臺	中央氣象台 中央氣象臺
中央臺	中央台 中央臺
中央電視臺	中央電視台 中央電視臺
中控臺	中控台 中控臺
中文平臺	中文平台 中文平臺
中文臺	中文台 中文臺
中港臺	中港台 中港臺
中臺	中台 中臺
中臺灣	中台灣 中臺灣
中臺灣地區	中台灣地區 中臺灣地區
中臺產品	中台產品 中臺產品
中臺禪寺	中台禪寺 中臺禪寺
中臺科技大學	中台科技大學 中臺科技大學
中臺醫事技術專科學校	中台醫事技術專科學校 中臺醫事技術專科學校
中臺醫專	中台醫專 中臺醫專
中臺醫護技術學院	中台醫護技術學院 中臺醫護技術學院
中華臺北	中華台北 中華臺北
中華電視臺	中華電視台 中華電視臺
串臺	串台 串臺
串臺了	串台了 串臺了
丹臺	丹台 丹臺
主席臺	主席台 主席臺
主控臺	主控台 主控臺
主播臺	主播台 主播臺
九臺	九台 九臺
九臺市	九台市 九臺市
乾撂臺	乾撂台 乾撂臺
二人臺	二人台 二人臺
二臺	二台 二臺
于臺煙	于台煙 于臺煙
互動平臺	互動平台 互動平臺
互動臺	互動台 互動臺
五臺	五台 五臺
五臺山	五台山 五臺山
五臺市	五台市 五臺市
五臺縣	五台縣 五臺縣
井臺	井台 井臺
交友平臺	交友平台 交友平臺
交易平臺	交易平台 交易平臺
交易臺	交易台 交易臺
交流平臺	交流平台 交流平臺
交通臺	交通台 交通臺
亭臺	亭台 亭臺
亭臺樓榭	亭台樓榭 亭臺樓榭
亭臺樓閣	亭台樓閣 亭臺樓閣
人民廣播電臺	人民廣播電台 人民廣播電臺
人生舞臺	人生舞台 人生舞臺
仙臺	仙台 仙臺
任憑風浪起穩坐釣魚臺	任憑風浪起穩坐釣魚台 任憑風浪起穩坐釣魚臺
佔臺	佔台 佔臺
作業平臺	作業平台 作業平臺
來自臺灣	來自台灣 來自臺灣
來臺	來台 來臺
來臺訪問	來台訪問 來臺訪問
信息平臺	信息平台 信息平臺
信號臺	信號台 信號臺
倒臺	倒台 倒臺
做臺	做台 做臺
偵聽臺	偵聽台 偵聽臺
債臺高築	債台高築 債臺高築
儀表臺	儀表台 儀表臺
兄臺	兄台 兄臺
克孜爾尕哈烽火臺	克孜爾尕哈烽火台 克孜爾尕哈烽火臺
克隆斯臺	克隆斯台 克隆斯臺
兒童臺	兒童台 兒童臺
內臺	內台 內臺
全臺	全台 全臺
全臺灣	全台灣 全臺灣
兩臺	兩台 兩臺
兩臺機器	兩台機器 兩臺機器
兩臺電腦	兩台電腦 兩臺電腦
